zip_code,year,week,positive_detections
10310,2026,20,0
10310,2026,21,2
10310,2026,22,3
10310,2026,23,3
10310,2026,24,3
10310,2026,25,5
10310,2026,26,4
10310,2026,27,5
10310,2026,28,4
10310,2026,29,3
10310,2026,30,4
10310,2026,31,6
10310,2026,32,7
10302,2026,20,2
10302,2026,21,3
10302,2026,22,5
10302,2026,23,6
10302,2026,24,5
10302,2026,25,7
10302,2026,26,7
10302,2026,27,8
10302,2026,28,8
10302,2026,29,7
10302,2026,30,9
10302,2026,31,11
10302,2026,32,12
11385,2026,20,0
11385,2026,21,2
11385,2026,22,3
11385,2026,23,3
11385,2026,24,3
11385,2026,25,2
11385,2026,26,1
11385,2026,27,2
11385,2026,28,4
11385,2026,29,3
11385,2026,30,5
11385,2026,31,7
11385,2026,32,7
11201,2026,20,1
11201,2026,21,0
11201,2026,22,2
11201,2026,23,3
11201,2026,24,3
11201,2026,25,2
11201,2026,26,4
11201,2026,27,4
11201,2026,28,6
11201,2026,29,7
11201,2026,30,9
11201,2026,31,11
11201,2026,32,10
10457,2026,20,0
10457,2026,21,0
10457,2026,22,0
10457,2026,23,0
10457,2026,24,1
10457,2026,25,0
10457,2026,26,1
10457,2026,27,2
10457,2026,28,4
10457,2026,29,5
10457,2026,30,5
10457,2026,31,7
10457,2026,32,7
