borough,zip_code,week_of_year,week_sin,week_cos,latitude,longitude,temp_mean,temp_max,temp_min,humidity_mean,precip_sum,temp_mean_lag7,temp_mean_lag14,humidity_mean_lag7,precip_7d,precip_14d,degree_days_14d,positives_last_1w,positives_last_2_4w,zipcode
Manhattan,00083,33,-0.7485,-0.6631,40.7829,-73.9654,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,1,3,00083
Manhattan,10001,33,-0.7485,-0.6631,40.75065,-73.9973,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10001
Manhattan,10002,33,-0.7485,-0.6631,40.71597,-73.9869,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,1,2,10002
Manhattan,10003,33,-0.7485,-0.6631,40.73186,-73.98912,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10003
Manhattan,10004,33,-0.7485,-0.6631,40.6898,-74.01739,23.78,28.42,19.92,78.2,43.3,25.2,26.157,66.857,31.5,74.8,183.6,0,0,10004
Manhattan,10005,33,-0.7485,-0.6631,40.70622,-74.00869,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10005
Manhattan,10006,33,-0.7485,-0.6631,40.70949,-74.01305,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,1,10006
Manhattan,10007,33,-0.7485,-0.6631,40.71387,-74.00787,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10007
Manhattan,10009,33,-0.7485,-0.6631,40.72639,-73.9786,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10009
Manhattan,10010,33,-0.7485,-0.6631,40.73904,-73.98262,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10010
Manhattan,10011,33,-0.7485,-0.6631,40.74184,-74.00053,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,1,1,10011
Manhattan,10012,33,-0.7485,-0.6631,40.72563,-73.99794,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10012
Manhattan,10013,33,-0.7485,-0.6631,40.72005,-74.00481,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10013
Manhattan,10014,33,-0.7485,-0.6631,40.73414,-74.00603,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10014
Manhattan,10016,33,-0.7485,-0.6631,40.74518,-73.97805,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,10016
Manhattan,10017,33,-0.7485,-0.6631,40.75239,-73.97268,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,10017
Manhattan,10018,33,-0.7485,-0.6631,40.75533,-73.9927,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10018
Manhattan,10019,33,-0.7485,-0.6631,40.76573,-73.98507,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10019
Manhattan,10020,33,-0.7485,-0.6631,40.75917,-73.98072,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,0,0,10020
Manhattan,10021,33,-0.7485,-0.6631,40.76964,-73.95902,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,10021
Manhattan,10022,33,-0.7485,-0.6631,40.75857,-73.96793,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,10022
