zipcode,borough,neighborhoods,year,week_start,week_of_year,week_sin,week_cos,season,latitude,longitude,temp_mean,temp_max,temp_min,humidity_mean,precip_sum,temp_mean_lag7,temp_mean_lag14,humidity_mean_lag7,precip_7d,precip_14d,degree_days_14d,positives_last_1w,positives_last_2_4w,zip_detection_status,positive_count,elevated
00083,Manhattan,Central Park,2026,2026-06-01,22,0.4647,-0.8855,summer,40.7829,-73.9654,22.986,29.171,16.857,45.714,8.4,19.543,20.286,57.429,4.9,13.3,117.9,0,0,Detected in the past 2 weeks,0,0
00083,Manhattan,Central Park,2026,2026-06-08,23,0.3546,-0.935,summer,40.7829,-73.9654,25.257,30.643,20.414,55.714,12.5,22.986,19.543,45.714,8.4,20.9,156.9,0,0,Detected in the past 2 weeks,0,0
00083,Manhattan,Central Park,2026,2026-06-15,24,0.2393,-0.9709,summer,40.7829,-73.9654,23.1,27.743,18.329,52.143,21.2,25.257,22.986,55.714,12.5,33.7,181.2,0,0,Detected in the past 2 weeks,0,0
00083,Manhattan,Central Park,2026,2026-06-22,25,0.1205,-0.9927,summer,40.7829,-73.9654,22.6,26.157,19.386,72.714,46.3,23.1,25.257,52.143,21.2,67.5,176.0,0,0,Detected in the past 2 weeks,0,0
00083,Manhattan,Central Park,2026,2026-06-29,26,-0.0,-1.0,summer,40.7829,-73.9654,28.771,34.386,23.957,62.0,49.4,22.6,23.1,72.714,46.3,95.7,199.9,0,0,Detected in the past 2 weeks,0,0
00083,Manhattan,Central Park,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.7829,-73.9654,23.071,26.9,19.986,80.429,84.4,28.771,22.6,62.0,49.4,133.8,198.8,0,0,Detected in the past 2 weeks,0,0
00083,Manhattan,Central Park,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.7829,-73.9654,25.9,30.4,21.771,61.571,34.2,23.071,28.771,80.429,84.4,118.6,219.0,0,0,Detected in the past 2 weeks,0,0
00083,Manhattan,Central Park,2026,2026-07-20,29,-0.3546,-0.935,summer,40.7829,-73.9654,23.529,28.657,18.714,58.571,15.7,25.9,23.071,61.571,34.2,49.9,187.1,0,0,Detected in the past 2 weeks,1,1
00083,Manhattan,Central Park,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.7829,-73.9654,23.729,27.914,20.686,79.0,103.5,23.529,25.9,58.571,15.7,119.2,187.6,1,0,Detected in the past 2 weeks,1,1
00083,Manhattan,Central Park,2026,2026-08-03,31,-0.5681,-0.823,summer,40.7829,-73.9654,25.786,30.529,22.1,75.857,52.9,23.729,23.529,79.0,103.5,156.4,188.3,1,1,Detected in the past 2 weeks,1,1
00083,Manhattan,Central Park,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.7829,-73.9654,24.843,29.643,20.771,67.857,24.1,25.786,23.729,75.857,52.9,77.0,195.8,1,2,Detected in the past 2 weeks,1,1
00083,Manhattan,Central Park,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.7829,-73.9654,23.54,28.04,19.72,78.2,38.8,24.843,25.786,67.857,24.1,62.9,177.5,1,3,Detected in the past 2 weeks,0,0
10001,Manhattan,,2026,2026-06-01,22,0.4647,-0.8855,summer,40.75065,-73.9973,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-06-08,23,0.3546,-0.935,summer,40.75065,-73.9973,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-06-15,24,0.2393,-0.9709,summer,40.75065,-73.9973,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-06-22,25,0.1205,-0.9927,summer,40.75065,-73.9973,22.929,26.529,19.6,72.0,50.7,23.271,25.471,51.857,21.4,72.1,181.2,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-06-29,26,-0.0,-1.0,summer,40.75065,-73.9973,29.414,35.257,24.071,59.429,31.8,22.929,23.271,72.0,50.7,82.5,207.6,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.75065,-73.9973,23.357,27.386,20.114,79.286,73.3,29.414,22.929,59.429,31.8,105.1,207.2,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.75065,-73.9973,26.543,31.343,22.186,58.286,32.8,23.357,29.414,79.286,73.3,106.1,229.6,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-07-20,29,-0.3546,-0.935,summer,40.75065,-73.9973,23.457,28.643,18.643,60.286,21.7,26.543,23.357,58.286,32.8,54.5,192.9,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.75065,-73.9973,23.914,28.243,20.757,78.429,96.9,23.457,26.543,60.286,21.7,118.6,192.3,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-08-03,31,-0.5681,-0.823,summer,40.75065,-73.9973,26.143,31.1,22.243,74.286,47.3,23.914,23.457,78.429,96.9,144.2,191.5,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.75065,-73.9973,25.2,29.986,20.971,66.857,31.5,26.143,23.914,74.286,47.3,78.8,202.3,0,0,Not detected,0,0
10001,Manhattan,,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.75065,-73.9973,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,Not detected,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-06-01,22,0.4647,-0.8855,summer,40.71597,-73.9869,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-06-08,23,0.3546,-0.935,summer,40.71597,-73.9869,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-06-15,24,0.2393,-0.9709,summer,40.71597,-73.9869,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-06-22,25,0.1205,-0.9927,summer,40.71597,-73.9869,22.929,26.529,19.6,72.0,50.7,23.271,25.471,51.857,21.4,72.1,181.2,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-06-29,26,-0.0,-1.0,summer,40.71597,-73.9869,29.414,35.257,24.071,59.429,31.8,22.929,23.271,72.0,50.7,82.5,207.6,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-07-06,27,-0.1205,-0.9927,summer,40.71597,-73.9869,23.357,27.386,20.114,79.286,73.3,29.414,22.929,59.429,31.8,105.1,207.2,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-07-13,28,-0.2393,-0.9709,summer,40.71597,-73.9869,26.543,31.343,22.186,58.286,32.8,23.357,29.414,79.286,73.3,106.1,229.6,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-07-20,29,-0.3546,-0.935,summer,40.71597,-73.9869,23.457,28.643,18.643,60.286,21.7,26.543,23.357,58.286,32.8,54.5,192.9,0,0,Detected in the past 2 weeks,0,0
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-07-27,30,-0.4647,-0.8855,summer,40.71597,-73.9869,23.914,28.243,20.757,78.429,96.9,23.457,26.543,60.286,21.7,118.6,192.3,0,0,Detected in the past 2 weeks,1,1
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-08-03,31,-0.5681,-0.823,summer,40.71597,-73.9869,26.143,31.1,22.243,74.286,47.3,23.914,23.457,78.429,96.9,144.2,191.5,1,0,Detected in the past 2 weeks,1,1
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-08-10,32,-0.6631,-0.7485,summer,40.71597,-73.9869,25.2,29.986,20.971,66.857,31.5,26.143,23.914,74.286,47.3,78.8,202.3,1,1,Detected in the past 2 weeks,1,1
10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park",2026,2026-08-17,33,-0.7485,-0.6631,summer,40.71597,-73.9869,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,1,2,Detected in the past 2 weeks,0,0
10003,Manhattan,,2026,2026-06-01,22,0.4647,-0.8855,summer,40.73186,-73.98912,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-06-08,23,0.3546,-0.935,summer,40.73186,-73.98912,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-06-15,24,0.2393,-0.9709,summer,40.73186,-73.98912,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-06-22,25,0.1205,-0.9927,summer,40.73186,-73.98912,22.929,26.529,19.6,72.0,50.7,23.271,25.471,51.857,21.4,72.1,181.2,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-06-29,26,-0.0,-1.0,summer,40.73186,-73.98912,29.414,35.257,24.071,59.429,31.8,22.929,23.271,72.0,50.7,82.5,207.6,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.73186,-73.98912,23.357,27.386,20.114,79.286,73.3,29.414,22.929,59.429,31.8,105.1,207.2,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.73186,-73.98912,26.543,31.343,22.186,58.286,32.8,23.357,29.414,79.286,73.3,106.1,229.6,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-07-20,29,-0.3546,-0.935,summer,40.73186,-73.98912,23.457,28.643,18.643,60.286,21.7,26.543,23.357,58.286,32.8,54.5,192.9,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.73186,-73.98912,23.914,28.243,20.757,78.429,96.9,23.457,26.543,60.286,21.7,118.6,192.3,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-08-03,31,-0.5681,-0.823,summer,40.73186,-73.98912,26.143,31.1,22.243,74.286,47.3,23.914,23.457,78.429,96.9,144.2,191.5,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.73186,-73.98912,25.2,29.986,20.971,66.857,31.5,26.143,23.914,74.286,47.3,78.8,202.3,0,0,Not detected,0,0
10003,Manhattan,,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.73186,-73.98912,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-06-01,22,0.4647,-0.8855,summer,40.6898,-74.01739,22.943,29.514,16.571,47.143,9.4,19.543,20.229,58.571,5.5,14.9,117.5,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-06-08,23,0.3546,-0.935,summer,40.6898,-74.01739,25.471,30.914,20.457,55.0,12.5,22.943,19.543,47.143,9.4,21.9,158.1,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-06-15,24,0.2393,-0.9709,summer,40.6898,-74.01739,23.3,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.7,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-06-22,25,0.1205,-0.9927,summer,40.6898,-74.01739,22.929,26.529,19.6,72.0,50.7,23.3,25.471,51.857,21.4,72.1,181.4,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-06-29,26,-0.0,-1.0,summer,40.6898,-74.01739,29.443,35.257,24.071,59.429,31.8,22.929,23.3,72.0,50.7,82.5,208.0,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.6898,-74.01739,23.386,27.386,20.114,79.286,73.3,29.443,22.929,59.429,31.8,105.1,207.6,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.6898,-74.01739,26.557,31.343,22.186,58.286,32.8,23.386,29.443,79.286,73.3,106.1,230.1,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-07-20,29,-0.3546,-0.935,summer,40.6898,-74.01739,23.486,28.643,18.643,60.286,21.7,26.557,23.386,58.286,32.8,54.5,193.3,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.6898,-74.01739,23.929,28.243,20.757,78.429,96.9,23.486,26.557,60.286,21.7,118.6,192.7,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-08-03,31,-0.5681,-0.823,summer,40.6898,-74.01739,26.157,31.1,22.243,74.286,47.3,23.929,23.486,78.429,96.9,144.2,191.8,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.6898,-74.01739,25.2,29.986,20.971,66.857,31.5,26.157,23.929,74.286,47.3,78.8,202.5,0,0,Not detected,0,0
10004,Manhattan,,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.6898,-74.01739,23.78,28.42,19.92,78.2,43.3,25.2,26.157,66.857,31.5,74.8,183.6,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-06-01,22,0.4647,-0.8855,summer,40.70622,-74.00869,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-06-08,23,0.3546,-0.935,summer,40.70622,-74.00869,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-06-15,24,0.2393,-0.9709,summer,40.70622,-74.00869,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-06-22,25,0.1205,-0.9927,summer,40.70622,-74.00869,22.929,26.529,19.6,72.0,50.7,23.271,25.471,51.857,21.4,72.1,181.2,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-06-29,26,-0.0,-1.0,summer,40.70622,-74.00869,29.414,35.257,24.071,59.429,31.8,22.929,23.271,72.0,50.7,82.5,207.6,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.70622,-74.00869,23.357,27.386,20.114,79.286,73.3,29.414,22.929,59.429,31.8,105.1,207.2,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.70622,-74.00869,26.543,31.343,22.186,58.286,32.8,23.357,29.414,79.286,73.3,106.1,229.6,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-07-20,29,-0.3546,-0.935,summer,40.70622,-74.00869,23.457,28.643,18.643,60.286,21.7,26.543,23.357,58.286,32.8,54.5,192.9,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.70622,-74.00869,23.914,28.243,20.757,78.429,96.9,23.457,26.543,60.286,21.7,118.6,192.3,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-08-03,31,-0.5681,-0.823,summer,40.70622,-74.00869,26.143,31.1,22.243,74.286,47.3,23.914,23.457,78.429,96.9,144.2,191.5,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.70622,-74.00869,25.2,29.986,20.971,66.857,31.5,26.143,23.914,74.286,47.3,78.8,202.3,0,0,Not detected,0,0
10005,Manhattan,,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.70622,-74.00869,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,Not detected,0,0
10006,Manhattan,Financial District,2026,2026-06-01,22,0.4647,-0.8855,summer,40.70949,-74.01305,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-06-08,23,0.3546,-0.935,summer,40.70949,-74.01305,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-06-15,24,0.2393,-0.9709,summer,40.70949,-74.01305,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-06-22,25,0.1205,-0.9927,summer,40.70949,-74.01305,22.929,26.529,19.6,72.0,50.7,23.271,25.471,51.857,21.4,72.1,181.2,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-06-29,26,-0.0,-1.0,summer,40.70949,-74.01305,29.414,35.257,24.071,59.429,31.8,22.929,23.271,72.0,50.7,82.5,207.6,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.70949,-74.01305,23.357,27.386,20.114,79.286,73.3,29.414,22.929,59.429,31.8,105.1,207.2,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.70949,-74.01305,26.543,31.343,22.186,58.286,32.8,23.357,29.414,79.286,73.3,106.1,229.6,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-07-20,29,-0.3546,-0.935,summer,40.70949,-74.01305,23.457,28.643,18.643,60.286,21.7,26.543,23.357,58.286,32.8,54.5,192.9,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.70949,-74.01305,23.914,28.243,20.757,78.429,96.9,23.457,26.543,60.286,21.7,118.6,192.3,0,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-08-03,31,-0.5681,-0.823,summer,40.70949,-74.01305,26.143,31.1,22.243,74.286,47.3,23.914,23.457,78.429,96.9,144.2,191.5,0,0,Detected in the past 2 weeks,1,1
10006,Manhattan,Financial District,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.70949,-74.01305,25.2,29.986,20.971,66.857,31.5,26.143,23.914,74.286,47.3,78.8,202.3,1,0,Detected in the past 2 weeks,0,0
10006,Manhattan,Financial District,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.70949,-74.01305,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,1,Detected in the past 2 weeks,0,0
10007,Manhattan,,2026,2026-06-01,22,0.4647,-0.8855,summer,40.71387,-74.00787,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-06-08,23,0.3546,-0.935,summer,40.71387,-74.00787,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-06-15,24,0.2393,-0.9709,summer,40.71387,-74.00787,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-06-22,25,0.1205,-0.9927,summer,40.71387,-74.00787,22.929,26.529,19.6,72.0,50.7,23.271,25.471,51.857,21.4,72.1,181.2,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-06-29,26,-0.0,-1.0,summer,40.71387,-74.00787,29.414,35.257,24.071,59.429,31.8,22.929,23.271,72.0,50.7,82.5,207.6,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.71387,-74.00787,23.357,27.386,20.114,79.286,73.3,29.414,22.929,59.429,31.8,105.1,207.2,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.71387,-74.00787,26.543,31.343,22.186,58.286,32.8,23.357,29.414,79.286,73.3,106.1,229.6,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-07-20,29,-0.3546,-0.935,summer,40.71387,-74.00787,23.457,28.643,18.643,60.286,21.7,26.543,23.357,58.286,32.8,54.5,192.9,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.71387,-74.00787,23.914,28.243,20.757,78.429,96.9,23.457,26.543,60.286,21.7,118.6,192.3,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-08-03,31,-0.5681,-0.823,summer,40.71387,-74.00787,26.143,31.1,22.243,74.286,47.3,23.914,23.457,78.429,96.9,144.2,191.5,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.71387,-74.00787,25.2,29.986,20.971,66.857,31.5,26.143,23.914,74.286,47.3,78.8,202.3,0,0,Not detected,0,0
10007,Manhattan,,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.71387,-74.00787,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-06-01,22,0.4647,-0.8855,summer,40.72639,-73.9786,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-06-08,23,0.3546,-0.935,summer,40.72639,-73.9786,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-06-15,24,0.2393,-0.9709,summer,40.72639,-73.9786,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-06-22,25,0.1205,-0.9927,summer,40.72639,-73.9786,22.929,26.529,19.6,72.0,50.7,23.271,25.471,51.857,21.4,72.1,181.2,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-06-29,26,-0.0,-1.0,summer,40.72639,-73.9786,29.414,35.257,24.071,59.429,31.8,22.929,23.271,72.0,50.7,82.5,207.6,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-07-06,27,-0.1205,-0.9927,summer,40.72639,-73.9786,23.357,27.386,20.114,79.286,73.3,29.414,22.929,59.429,31.8,105.1,207.2,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-07-13,28,-0.2393,-0.9709,summer,40.72639,-73.9786,26.543,31.343,22.186,58.286,32.8,23.357,29.414,79.286,73.3,106.1,229.6,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-07-20,29,-0.3546,-0.935,summer,40.72639,-73.9786,23.457,28.643,18.643,60.286,21.7,26.543,23.357,58.286,32.8,54.5,192.9,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-07-27,30,-0.4647,-0.8855,summer,40.72639,-73.9786,23.914,28.243,20.757,78.429,96.9,23.457,26.543,60.286,21.7,118.6,192.3,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-08-03,31,-0.5681,-0.823,summer,40.72639,-73.9786,26.143,31.1,22.243,74.286,47.3,23.914,23.457,78.429,96.9,144.2,191.5,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-08-10,32,-0.6631,-0.7485,summer,40.72639,-73.9786,25.2,29.986,20.971,66.857,31.5,26.143,23.914,74.286,47.3,78.8,202.3,0,0,Not detected,0,0
10009,Manhattan,,2026,2026-08-17,33,-0.7485,-0.6631,summer,40.72639,-73.9786,23.76,28.42,19.92,78.2,43.3,25.2,26.143,66.857,31.5,74.8,183.4,0,0,Not detected,0,0
10010,Manhattan,,2026,2026-06-01,22,0.4647,-0.8855,summer,40.73904,-73.98262,22.943,29.514,16.571,47.143,9.4,19.529,20.214,58.571,5.5,14.9,117.3,0,0,Not detected,0,0
10010,Manhattan,,2026,2026-06-08,23,0.3546,-0.935,summer,40.73904,-73.98262,25.471,30.914,20.457,55.0,12.5,22.943,19.529,47.143,9.4,21.9,158.0,0,0,Not detected,0,0
10010,Manhattan,,2026,2026-06-15,24,0.2393,-0.9709,summer,40.73904,-73.98262,23.271,28.071,18.414,51.857,21.4,25.471,22.943,55.0,12.5,33.9,183.5,0,0,Not detected,0,0
