ZIP Code,Borough,Detection Type,All Positive Trap Date(s),Neighborhood(s)
00083,Manhattan,Detected in the past 2 weeks,"7/23, 7/30, 8/7, 8/14",Central Park
10001,Manhattan,Not detected,,
10002,Manhattan,Detected in the past 2 weeks,"7/30, 8/6, 8/15","Little Italy, Chinatown, Sara D. Roosevelt Park"
10003,Manhattan,Not detected,,
10004,Manhattan,Not detected,,
10005,Manhattan,Not detected,,
10006,Manhattan,Detected in the past 2 weeks,8/7,Financial District
10007,Manhattan,Not detected,,
10009,Manhattan,Not detected,,
10010,Manhattan,Not detected,,
10011,Manhattan,Detected in the past 2 weeks,"8/6, 8/14",Greenwich Village
10012,Manhattan,Not detected,,
10013,Manhattan,Not detected,,
10014,Manhattan,Not detected,,
10016,Manhattan,Not detected,,
10017,Manhattan,Not detected,,
10018,Manhattan,Not detected,,
10019,Manhattan,Not detected,,
10020,Manhattan,Not detected,,
10021,Manhattan,Not detected,,
10022,Manhattan,Not detected,,
10023,Manhattan,Not detected,,
10024,Manhattan,Not detected,,
10025,Manhattan,Detected in the past 2 weeks,"7/16, 7/23, 7/30, 8/6, 8/7, 8/13",Manhattan Valley
10026,Manhattan,Not detected,,
10027,Manhattan,Detected in the past 2 weeks,"7/30, 8/7, 8/13",Harlem
10028,Manhattan,Not detected,,
10029,Manhattan,Not detected,,
10030,Manhattan,Not detected,,
10031,Manhattan,Detected in the past 2 weeks,8/13,Manhattanville
10032,Manhattan,Detected in the past 2 weeks,"8/6, 8/13","Hamilton Heights, Washington Heights"
10033,Manhattan,Detected in the past 2 weeks,8/14,Washington Heights
10034,Manhattan,Not detected,,
10035,Manhattan,Not detected,,
10036,Manhattan,Not detected,,
10037,Manhattan,Not detected,,
10038,Manhattan,Not detected,,
10039,Manhattan,Not detected,,
10040,Manhattan,Not detected,,
10044,Manhattan,Not detected,,
10048,Manhattan,Not detected,,
10065,Manhattan,Not detected,,
10069,Manhattan,Not detected,,
10075,Manhattan,Not detected,,
10111,Manhattan,Not detected,,
10115,Manhattan,Not detected,,
10128,Manhattan,Not detected,,
10280,Manhattan,Not detected,,
10281,Manhattan,Not detected,,
10282,Manhattan,Not detected,,
10301,Staten Island,Detected in the past 2 weeks,"7/2, 7/10, 7/16, 7/23, 7/30, 7/31, 8/6, 8/13","Castleton Corners, Westerleigh, Silver Lake, Grymes Hill, Randall Manor"
10302,Staten Island,Detected earlier this season,"7/16, 7/23, 8/3, 8/5","Mariners Harbor, Port Richmond"
10303,Staten Island,Detected in the past 2 weeks,"6/25, 7/9, 7/16, 7/18, 7/23, 7/30, 8/3, 8/13","Arlington, Graniteville, Mariners Harbor"
10304,Staten Island,Detected in the past 2 weeks,"7/20, 8/5, 8/10, 8/12","Dongan Hills, Old town/Dongan Hills"
10305,Staten Island,Detected in the past 2 weeks,"7/6, 7/13, 7/20, 7/21, 7/27, 8/3, 8/5, 8/10, 8/12","South Beach, Old Town, Arrochar, Grasmere"
10306,Staten Island,Detected in the past 2 weeks,"6/30, 7/6, 7/13, 7/20, 7/21, 7/27, 7/28, 8/3, 8/5, 8/10","Midland Beach, New Dorp Beach, Dongan Hills, Grant City, New Dorp, Oakwood"
10307,Staten Island,Detected in the past 2 weeks,"6/16, 6/22, 6/29, 7/6, 7/13, 7/21, 7/22, 8/3, 8/10, 8/17","Richmond Valley, Tottenville, Butler Manor"
10308,Staten Island,Detected earlier this season,"6/22, 6/29, 7/6, 7/7",Great Kills
10309,Staten Island,Detected in the past 2 weeks,"6/18, 6/22, 6/29, 7/2, 7/6, 7/9, 7/16, 7/22, 7/30, 8/6, 8/13","Rossville, Pleasant Plains, Sandy Ground"
10310,Staten Island,Detected earlier this season,"7/10, 7/16, 7/23, 7/24, 7/30, 8/6","Port Richmond, West Brighton"
