zip_code,zipcode,year,week,week_of_year,positive_detections,positive_count,elevated,week_start
00083,00083,2026,22,22,0,0,0,2026-06-01
00083,00083,2026,23,23,0,0,0,2026-06-08
00083,00083,2026,24,24,0,0,0,2026-06-15
00083,00083,2026,25,25,0,0,0,2026-06-22
00083,00083,2026,26,26,0,0,0,2026-06-29
00083,00083,2026,27,27,0,0,0,2026-07-06
00083,00083,2026,28,28,0,0,0,2026-07-13
00083,00083,2026,29,29,1,1,1,2026-07-20
00083,00083,2026,30,30,1,1,1,2026-07-27
00083,00083,2026,31,31,1,1,1,2026-08-03
00083,00083,2026,32,32,1,1,1,2026-08-10
00083,00083,2026,33,33,0,0,0,2026-08-17
10001,10001,2026,22,22,0,0,0,2026-06-01
10001,10001,2026,23,23,0,0,0,2026-06-08
10001,10001,2026,24,24,0,0,0,2026-06-15
10001,10001,2026,25,25,0,0,0,2026-06-22
10001,10001,2026,26,26,0,0,0,2026-06-29
10001,10001,2026,27,27,0,0,0,2026-07-06
10001,10001,2026,28,28,0,0,0,2026-07-13
10001,10001,2026,29,29,0,0,0,2026-07-20
10001,10001,2026,30,30,0,0,0,2026-07-27
10001,10001,2026,31,31,0,0,0,2026-08-03
10001,10001,2026,32,32,0,0,0,2026-08-10
10001,10001,2026,33,33,0,0,0,2026-08-17
10002,10002,2026,22,22,0,0,0,2026-06-01
10002,10002,2026,23,23,0,0,0,2026-06-08
10002,10002,2026,24,24,0,0,0,2026-06-15
10002,10002,2026,25,25,0,0,0,2026-06-22
10002,10002,2026,26,26,0,0,0,2026-06-29
10002,10002,2026,27,27,0,0,0,2026-07-06
10002,10002,2026,28,28,0,0,0,2026-07-13
10002,10002,2026,29,29,0,0,0,2026-07-20
10002,10002,2026,30,30,1,1,1,2026-07-27
10002,10002,2026,31,31,1,1,1,2026-08-03
10002,10002,2026,32,32,1,1,1,2026-08-10
10002,10002,2026,33,33,0,0,0,2026-08-17
10003,10003,2026,22,22,0,0,0,2026-06-01
10003,10003,2026,23,23,0,0,0,2026-06-08
10003,10003,2026,24,24,0,0,0,2026-06-15
10003,10003,2026,25,25,0,0,0,2026-06-22
10003,10003,2026,26,26,0,0,0,2026-06-29
10003,10003,2026,27,27,0,0,0,2026-07-06
10003,10003,2026,28,28,0,0,0,2026-07-13
10003,10003,2026,29,29,0,0,0,2026-07-20
10003,10003,2026,30,30,0,0,0,2026-07-27
10003,10003,2026,31,31,0,0,0,2026-08-03
10003,10003,2026,32,32,0,0,0,2026-08-10
10003,10003,2026,33,33,0,0,0,2026-08-17
10004,10004,2026,22,22,0,0,0,2026-06-01
10004,10004,2026,23,23,0,0,0,2026-06-08
10004,10004,2026,24,24,0,0,0,2026-06-15
10004,10004,2026,25,25,0,0,0,2026-06-22
10004,10004,2026,26,26,0,0,0,2026-06-29
10004,10004,2026,27,27,0,0,0,2026-07-06
10004,10004,2026,28,28,0,0,0,2026-07-13
10004,10004,2026,29,29,0,0,0,2026-07-20
10004,10004,2026,30,30,0,0,0,2026-07-27
10004,10004,2026,31,31,0,0,0,2026-08-03
10004,10004,2026,32,32,0,0,0,2026-08-10
10004,10004,2026,33,33,0,0,0,2026-08-17
10005,10005,2026,22,22,0,0,0,2026-06-01
10005,10005,2026,23,23,0,0,0,2026-06-08
10005,10005,2026,24,24,0,0,0,2026-06-15
10005,10005,2026,25,25,0,0,0,2026-06-22
10005,10005,2026,26,26,0,0,0,2026-06-29
10005,10005,2026,27,27,0,0,0,2026-07-06
10005,10005,2026,28,28,0,0,0,2026-07-13
10005,10005,2026,29,29,0,0,0,2026-07-20
10005,10005,2026,30,30,0,0,0,2026-07-27
10005,10005,2026,31,31,0,0,0,2026-08-03
10005,10005,2026,32,32,0,0,0,2026-08-10
10005,10005,2026,33,33,0,0,0,2026-08-17
10006,10006,2026,22,22,0,0,0,2026-06-01
10006,10006,2026,23,23,0,0,0,2026-06-08
10006,10006,2026,24,24,0,0,0,2026-06-15
10006,10006,2026,25,25,0,0,0,2026-06-22
10006,10006,2026,26,26,0,0,0,2026-06-29
10006,10006,2026,27,27,0,0,0,2026-07-06
10006,10006,2026,28,28,0,0,0,2026-07-13
10006,10006,2026,29,29,0,0,0,2026-07-20
10006,10006,2026,30,30,0,0,0,2026-07-27
10006,10006,2026,31,31,1,1,1,2026-08-03
10006,10006,2026,32,32,0,0,0,2026-08-10
10006,10006,2026,33,33,0,0,0,2026-08-17
10007,10007,2026,22,22,0,0,0,2026-06-01
10007,10007,2026,23,23,0,0,0,2026-06-08
10007,10007,2026,24,24,0,0,0,2026-06-15
10007,10007,2026,25,25,0,0,0,2026-06-22
10007,10007,2026,26,26,0,0,0,2026-06-29
10007,10007,2026,27,27,0,0,0,2026-07-06
10007,10007,2026,28,28,0,0,0,2026-07-13
10007,10007,2026,29,29,0,0,0,2026-07-20
10007,10007,2026,30,30,0,0,0,2026-07-27
10007,10007,2026,31,31,0,0,0,2026-08-03
10007,10007,2026,32,32,0,0,0,2026-08-10
10007,10007,2026,33,33,0,0,0,2026-08-17
10009,10009,2026,22,22,0,0,0,2026-06-01
10009,10009,2026,23,23,0,0,0,2026-06-08
10009,10009,2026,24,24,0,0,0,2026-06-15
10009,10009,2026,25,25,0,0,0,2026-06-22
10009,10009,2026,26,26,0,0,0,2026-06-29
10009,10009,2026,27,27,0,0,0,2026-07-06
10009,10009,2026,28,28,0,0,0,2026-07-13
10009,10009,2026,29,29,0,0,0,2026-07-20
10009,10009,2026,30,30,0,0,0,2026-07-27
10009,10009,2026,31,31,0,0,0,2026-08-03
10009,10009,2026,32,32,0,0,0,2026-08-10
10009,10009,2026,33,33,0,0,0,2026-08-17
10010,10010,2026,22,22,0,0,0,2026-06-01
10010,10010,2026,23,23,0,0,0,2026-06-08
10010,10010,2026,24,24,0,0,0,2026-06-15
10010,10010,2026,25,25,0,0,0,2026-06-22
10010,10010,2026,26,26,0,0,0,2026-06-29
10010,10010,2026,27,27,0,0,0,2026-07-06
10010,10010,2026,28,28,0,0,0,2026-07-13
10010,10010,2026,29,29,0,0,0,2026-07-20
10010,10010,2026,30,30,0,0,0,2026-07-27
10010,10010,2026,31,31,0,0,0,2026-08-03
10010,10010,2026,32,32,0,0,0,2026-08-10
10010,10010,2026,33,33,0,0,0,2026-08-17
10011,10011,2026,22,22,0,0,0,2026-06-01
10011,10011,2026,23,23,0,0,0,2026-06-08
10011,10011,2026,24,24,0,0,0,2026-06-15
10011,10011,2026,25,25,0,0,0,2026-06-22
10011,10011,2026,26,26,0,0,0,2026-06-29
10011,10011,2026,27,27,0,0,0,2026-07-06
10011,10011,2026,28,28,0,0,0,2026-07-13
10011,10011,2026,29,29,0,0,0,2026-07-20
10011,10011,2026,30,30,0,0,0,2026-07-27
10011,10011,2026,31,31,1,1,1,2026-08-03
10011,10011,2026,32,32,1,1,1,2026-08-10
10011,10011,2026,33,33,0,0,0,2026-08-17
10012,10012,2026,22,22,0,0,0,2026-06-01
10012,10012,2026,23,23,0,0,0,2026-06-08
10012,10012,2026,24,24,0,0,0,2026-06-15
10012,10012,2026,25,25,0,0,0,2026-06-22
10012,10012,2026,26,26,0,0,0,2026-06-29
10012,10012,2026,27,27,0,0,0,2026-07-06
