zip_code,zipcode,borough,areas,neighborhoods,latitude,longitude
00083,00083,Manhattan,Central Park,Central Park,40.7829,-73.9654
10001,10001,Manhattan,New York Metropolitan Area,,40.75065,-73.9973
10002,10002,Manhattan,"Little Italy, Chinatown, Sara D. Roosevelt Park","Little Italy, Chinatown, Sara D. Roosevelt Park",40.71597,-73.9869
10003,10003,Manhattan,New York Metropolitan Area,,40.73186,-73.98912
10004,10004,Manhattan,New York Metropolitan Area,,40.6898,-74.01739
10005,10005,Manhattan,New York Metropolitan Area,,40.70622,-74.00869
10006,10006,Manhattan,Financial District,Financial District,40.70949,-74.01305
10007,10007,Manhattan,New York Metropolitan Area,,40.71387,-74.00787
10009,10009,Manhattan,New York Metropolitan Area,,40.72639,-73.9786
10010,10010,Manhattan,New York Metropolitan Area,,40.73904,-73.98262
10011,10011,Manhattan,Greenwich Village,Greenwich Village,40.74184,-74.00053
10012,10012,Manhattan,New York Metropolitan Area,,40.72563,-73.99794
10013,10013,Manhattan,New York Metropolitan Area,,40.72005,-74.00481
10014,10014,Manhattan,New York Metropolitan Area,,40.73414,-74.00603
10016,10016,Manhattan,New York Metropolitan Area,,40.74518,-73.97805
10017,10017,Manhattan,New York Metropolitan Area,,40.75239,-73.97268
10018,10018,Manhattan,New York Metropolitan Area,,40.75533,-73.9927
10019,10019,Manhattan,New York Metropolitan Area,,40.76573,-73.98507
10020,10020,Manhattan,New York Metropolitan Area,,40.75917,-73.98072
10021,10021,Manhattan,New York Metropolitan Area,,40.76964,-73.95902
10022,10022,Manhattan,New York Metropolitan Area,,40.75857,-73.96793
10023,10023,Manhattan,New York Metropolitan Area,,40.77457,-73.97902
10024,10024,Manhattan,New York Metropolitan Area,,40.78566,-73.97127
10025,10025,Manhattan,Manhattan Valley,Manhattan Valley,40.79825,-73.96834
10026,10026,Manhattan,New York Metropolitan Area,,40.80298,-73.95353
10027,10027,Manhattan,Harlem,Harlem,40.81266,-73.95498
10028,10028,Manhattan,New York Metropolitan Area,,40.77645,-73.95338
10029,10029,Manhattan,New York Metropolitan Area,,40.79225,-73.94733
10030,10030,Manhattan,New York Metropolitan Area,,40.81825,-73.94283
10031,10031,Manhattan,Manhattanville,Manhattanville,40.8248,-73.95021
10032,10032,Manhattan,"Hamilton Heights, Washington Heights","Hamilton Heights, Washington Heights",40.83904,-73.94281
10033,10033,Manhattan,Washington Heights,Washington Heights,40.84748,-73.93551
10034,10034,Manhattan,New York Metropolitan Area,,40.86708,-73.92431
10035,10035,Manhattan,New York Metropolitan Area,,40.79525,-73.93042
10036,10036,Manhattan,New York Metropolitan Area,,40.75979,-73.99068
10037,10037,Manhattan,New York Metropolitan Area,,40.81303,-73.93771
10038,10038,Manhattan,New York Metropolitan Area,,40.70926,-74.0029
10039,10039,Manhattan,New York Metropolitan Area,,40.82629,-73.93753
10040,10040,Manhattan,New York Metropolitan Area,,40.8581,-73.9296
10044,10044,Manhattan,New York Metropolitan Area,,40.76191,-73.94997
10048,10048,Manhattan,New York Metropolitan Area,,40.7831,-73.9712
10065,10065,Manhattan,New York Metropolitan Area,,40.76469,-73.96326
10069,10069,Manhattan,New York Metropolitan Area,,40.77738,-73.98883
10075,10075,Manhattan,New York Metropolitan Area,,40.77341,-73.95629
10111,10111,Manhattan,New York Metropolitan Area,,40.75953,-73.97858
10115,10115,Manhattan,New York Metropolitan Area,,40.81085,-73.96374
10128,10128,Manhattan,New York Metropolitan Area,,40.7815,-73.9502
10280,10280,Manhattan,New York Metropolitan Area,,40.7097,-74.01659
10281,10281,Manhattan,New York Metropolitan Area,,40.7831,-73.9712
10282,10282,Manhattan,New York Metropolitan Area,,40.71638,-74.015
10301,10301,Staten Island,"Castleton Corners, Westerleigh, Silver Lake, Grymes Hill, Randall Manor","Castleton Corners, Westerleigh, Silver Lake, Grymes Hill, Randall Manor",40.6275,-74.09438
10302,10302,Staten Island,"Mariners Harbor, Port Richmond","Mariners Harbor, Port Richmond",40.63081,-74.13766
10303,10303,Staten Island,"Arlington, Graniteville, Mariners Harbor","Arlington, Graniteville, Mariners Harbor",40.62989,-74.17413
10304,10304,Staten Island,"Dongan Hills, Old town/Dongan Hills","Dongan Hills, Old town/Dongan Hills",40.60596,-74.09354
10305,10305,Staten Island,"South Beach, Old Town, Arrochar, Grasmere","South Beach, Old Town, Arrochar, Grasmere",40.59655,-74.07578
10306,10306,Staten Island,"Midland Beach, New Dorp Beach, Dongan Hills, Grant City, New Dorp, Oakwood","Midland Beach, New Dorp Beach, Dongan Hills, Grant City, New Dorp, Oakwood",40.57171,-74.12426
10307,10307,Staten Island,"Richmond Valley, Tottenville, Butler Manor","Richmond Valley, Tottenville, Butler Manor",40.50775,-74.24209
10308,10308,Staten Island,Great Kills,Great Kills,40.55283,-74.15153
10309,10309,Staten Island,"Rossville, Pleasant Plains, Sandy Ground","Rossville, Pleasant Plains, Sandy Ground",40.52984,-74.21978
10310,10310,Staten Island,"Port Richmond, West Brighton","Port Richmond, West Brighton",40.63261,-74.11615
10312,10312,Staten Island,"Eltingville, Annadale, Greenridge, Arden Heights, Great Kills","Eltingville, Annadale, Greenridge, Arden Heights, Great Kills",40.54524,-74.18044
10314,10314,Staten Island,"Bloomfield, Greenridge, Bulls Head, Heartland Village, Willowbrook, Westerleigh, Chelsea, New Springville, Castleton Corners","Bloomfield, Greenridge, Bulls Head, Heartland Village, Willowbrook, Westerleigh, Chelsea, New Springville, Castleton Corners",40.6007,-74.16431
10451,10451,Bronx,New York Metropolitan Area,,40.82217,-73.92262
10452,10452,Bronx,New York Metropolitan Area,,40.83779,-73.92334
10453,10453,Bronx,New York Metropolitan Area,,40.85251,-73.91329
10454,10454,Bronx,Mott Haven,Mott Haven,40.80558,-73.9166
10455,10455,Bronx,New York Metropolitan Area,,40.8148,-73.9086
10456,10456,Bronx,Morrisania,Morrisania,40.83067,-73.90816
10457,10457,Bronx,"Claremont Village, East Tremont","Claremont Village, East Tremont",40.84571,-73.89792
10458,10458,Bronx,New York Metropolitan Area,,40.86249,-73.88645
10459,10459,Bronx,New York Metropolitan Area,,40.82569,-73.893
10460,10460,Bronx,Van Nest,Van Nest,40.84234,-73.87906
10461,10461,Bronx,"Morris Park, Middletown, Pelham Bay, Pelham Parkway","Morris Park, Middletown, Pelham Bay, Pelham Parkway",40.84674,-73.84079
10462,10462,Bronx,Pelham Parkway,Pelham Parkway,40.84327,-73.86042
10463,10463,Bronx,New York Metropolitan Area,,40.88634,-73.90155
10464,10464,Bronx,Co-op City,Co-op City,40.86959,-73.79585
10465,10465,Bronx,"Spencer Estates, Throgs Neck, Schuylerville","Spencer Estates, Throgs Neck, Schuylerville",40.82733,-73.82217
10466,10466,Bronx,New York Metropolitan Area,,40.89096,-73.84624
10467,10467,Bronx,"Woodlawn, Norwood","Woodlawn, Norwood",40.87526,-73.87203
10468,10468,Bronx,New York Metropolitan Area,,40.86894,-73.9
10469,10469,Bronx,Baychester,Baychester,40.86851,-73.84669
10470,10470,Bronx,New York Metropolitan Area,,40.88953,-73.87259
10471,10471,Bronx,"North Riverdale, Fieldston","North Riverdale, Fieldston",40.89998,-73.90675
10472,10472,Bronx,New York Metropolitan Area,,40.82968,-73.86937
10473,10473,Bronx,"Clason Point, Harding Park, Castle Hill, Soundview","Clason Point, Harding Park, Castle Hill, Soundview",40.81869,-73.85847
