Feature,Importance
positives_last_1w,0.14767943
borough_Manhattan,0.053964484
week_of_year,0.0224187
precip_14d,0.02170608
borough_Bronx,0.019037988
zip_code_10473,0.018194173
borough_Staten Island,0.017758394
degree_days_14d,0.016163064
zip_code_11423,0.015015741
zip_code_11378,0.0146320695
borough_Queens,0.014118978
zip_code_10027,0.013850228
zip_code_11356,0.013645724
week_sin,0.012855319
zip_code_00083,0.012450819
zip_code_10002,0.012412765
zip_code_11426,0.012211114
positives_last_2_4w,0.011986048
longitude,0.011960887
zip_code_11210,0.01156198
zip_code_11229,0.011483216
zip_code_11421,0.011436521
zip_code_11368,0.011233278
precip_7d,0.010956412
zip_code_11238,0.010692327
zip_code_11239,0.010586627
zip_code_10455,0.010571445
zip_code_10314,0.010375446
temp_mean_lag14,0.010257079
latitude,0.010198019
zip_code_10032,0.010179706
zip_code_11234,0.010127164
zip_code_11101,0.010084889
zip_code_11362,0.01006455
humidity_mean,0.009892579
zip_code_11235,0.009788932
borough_Brooklyn,0.009580983
precip_sum,0.009518004
zip_code_11212,0.009180488
zip_code_11237,0.0091090165
zip_code_11428,0.008858154
zip_code_11109,0.008460079
zip_code_11372,0.008163814
zip_code_11213,0.008089892
zip_code_10301,0.0079461
zip_code_10011,0.007917615
zip_code_10471,0.007827757
zip_code_11415,0.00776078
zip_code_11215,0.007708082
zip_code_11691,0.0076211244
zip_code_10031,0.007552454
zip_code_11104,0.007452818
zip_code_10454,0.007290723
zip_code_11359,0.0071764044
zip_code_11366,0.007054972
temp_max,0.0067882435
temp_mean,0.006755106
week_cos,0.0067541087
zip_code_11206,0.0067475215
zip_code_11222,0.0066560335
zip_code_11221,0.006538945
zip_code_10467,0.0065186275
zip_code_11232,0.0064849965
humidity_mean_lag7,0.0064277207
zip_code_10308,0.0063963016
zip_code_11365,0.006370149
temp_min,0.006318382
zip_code_10457,0.0062809116
zip_code_10469,0.006191202
zip_code_11693,0.0060885167
zip_code_11434,0.006028098
zip_code_11360,0.005975687
zip_code_11451,0.005845333
temp_mean_lag7,0.0057925624
zip_code_11413,0.0056816833
zip_code_11236,0.0056721293
zip_code_11364,0.0053105205
zip_code_11692,0.0051494725
zip_code_10304,0.0047116443
zip_code_10459,0.004680881
zip_code_10472,0.0046384376
zip_code_11357,0.0045215776
zip_code_11422,0.004440142
zip_code_11373,0.004193279
zip_code_11096,0.0041639796
zip_code_11374,0.0036251142
zip_code_11432,0.0036218252
zip_code_11411,0.003577022
zip_code_11385,0.0033409784
zip_code_11355,0.0032718426
zip_code_11367,0.0030603805
zip_code_10302,0.0029142348
zip_code_10312,0.0028676952
zip_code_11004,0.0025988698
zip_code_10303,0.00086206815
zip_code_11375,0.0003163375
zip_code_11231,0.0
zip_code_11218,0.0
zip_code_11217,0.0
zip_code_11216,0.0
zip_code_11225,0.0
zip_code_11219,0.0
zip_code_11220,0.0
zip_code_11230,0.0
zip_code_11224,0.0
zip_code_11228,0.0
zip_code_11223,0.0
zip_code_11226,0.0
zip_code_11420,0.0
zip_code_11435,0.0
zip_code_11694,0.0
zip_code_11233,0.0
